data,temperatura_c,umidade_relativa
2023-03-01,28.5,75
2023-03-02,30.1,80
2023-03-03,27.9,70
2023-03-04,29.3,72
2023-03-05,31.0,78
2023-03-06,26.8,65
2023-03-07,27.5,68
2023-03-08,28.2,70
2023-03-09,29.7,73
2023-03-10,30.5,76
2023-03-11,31.2,79
2023-03-12,28.9,71
2023-03-13,27.6,69
2023-03-14,26.9,66
2023-03-15,28.4,72
2023-03-16,29.1,74
2023-03-17,30.3,77
2023-03-18,31.5,81
2023-03-19,32.0,83
2023-03-20,30.7,78
2023-03-21,29.8,75
2023-03-22,28.6,73
2023-03-23,27.4,70
2023-03-24,26.7,68
2023-03-25,27.9,69
2023-03-26,28.3,71
2023-03-27,29.6,74
2023-03-28,30.2,76
2023-03-29,31.1,79
2023-03-30,32.4,82
2023-03-31,33.0,85
2023-04-01,28.7,72
2023-04-02,29.4,73
2023-04-03,30.0,75
2023-04-04,31.3,78
2023-04-05,32.1,80
2023-04-06,33.5,84
2023-04-07,34.0,86
2023-04-08,33.2,83
2023-04-09,31.9,79
2023-04-10,30.6,76
2023-04-11,29.7,74
2023-04-12,28.8,72
2023-04-13,27.5,69
2023-04-14,26.9,67
2023-04-15,27.8,68
2023-04-16,28.6,70
2023-04-17,29.3,72
2023-04-18,30.4,75
2023-04-19,31.6,78
2023-04-20,32.2,81
2023-04-21,33.1,84
2023-04-22,34.3,87
