produto;quantidade;preco_unitario
Monitor;10;799.90
Teclado;25;120.50
Mouse;40;50.00
Webcam;15;250.00
Notebook;5;3500.00
Impressora;8;900.00
Headset;20;180.00
Caixa de Som;12;220.00
SSD 240GB;30;200.00
SSD 480GB;18;350.00
HD 1TB;22;320.00
HD 2TB;10;450.00
Placa de Video;6;2200.00
Memoria RAM 8GB;35;180.00
Memoria RAM 16GB;20;320.00
Processador i5;9;1200.00
Processador i7;7;1900.00
Placa Mae;11;850.00
Fonte 500W;14;300.00
Fonte 700W;10;420.00
Monitor;10;799.90
Teclado;25;120.50
Mouse;40;50.00
Webcam;15;250.00
Notebook;5;3500.00
Impressora;8;900.00
Headset;20;180.00
Caixa de Som;12;220.00
SSD 240GB;30;200.00
SSD 480GB;18;350.00
HD 1TB;22;320.00
HD 2TB;10;450.00
Placa de Video;6;2200.00
Memoria RAM 8GB;35;180.00
Memoria RAM 16GB;20;320.00
Processador i5;9;1200.00
Processador i7;7;1900.00
Placa Mae;11;850.00
Fonte 500W;14;300.00
Fonte 700W;10;420.00
Monitor;10;799.90
Teclado;25;120.50
Mouse;40;50.00
Webcam;15;250.00
Notebook;5;3500.00
Impressora;8;900.00
Headset;20;180.00
Caixa de Som;12;220.00
SSD 240GB;30;200.00
SSD 480GB;18;350.00
HD 1TB;22;320.00
HD 2TB;10;450.00
Placa de Video;6;2200.00
Memoria RAM 8GB;35;180.00
Memoria RAM 16GB;20;320.00
Processador i5;9;1200.00
Processador i7;7;1900.00
Placa Mae;11;850.00
Fonte 500W;14;300.00
Fonte 700W;10;420.00
Monitor;10;799.90
Teclado;25;120.50
Mouse;40;50.00
Webcam;15;250.00
Notebook;5;3500.00
Impressora;8;900.00
Headset;20;180.00
Caixa de Som;12;220.00
SSD 240GB;30;200.00
SSD 480GB;18;350.00
HD 1TB;22;320.00
HD 2TB;10;450.00
Placa de Video;6;2200.00
Memoria RAM 8GB;35;180.00
Memoria RAM 16GB;20;320.00
Processador i5;9;1200.00
Processador i7;7;1900.00
Placa Mae;11;850.00
Fonte 500W;14;300.00
Fonte 700W;10;420.00
Monitor;10;799.90
Teclado;25;120.50
Mouse;40;50.00
Webcam;15;250.00
Notebook;5;3500.00
Impressora;8;900.00
Headset;20;180.00
Caixa de Som;12;220.00
SSD 240GB;30;200.00
SSD 480GB;18;350.00
HD 1TB;22;320.00
HD 2TB;10;450.00
Placa de Video;6;2200.00
Memoria RAM 8GB;35;180.00
Memoria RAM 16GB;20;320.00
Processador i5;9;1200.00
Processador i7;7;1900.00
Placa Mae;11;850.00
Fonte 500W;14;300.00
Fonte 700W;10;420.00
